Value,Class_Name
1,Corn
2,Cotton
4,Sorghum
5,Soybeans
21,Barley
24,Winter Wheat
26,Dbl Crop WinWht/Soybeans
27,Rye
28,Oats
29,Millet
31,Canola
36,Alfalfa
37,Other Hay/Non Alfalfa
44,Other Crops
53,Peas
57,Herbs
59,Sod/Grass Seed
61,Fallow/Idle Cropland
67,Peaches
70,Christmas Trees
74,Pecans
111,Open Water
121,Developed/Open Space
122,Developed/Low Intensity
123,Developed/Med Intensity
124,Developed/High Intensity
131,Barren
141,Deciduous Forest
142,Evergreen Forest
143,Mixed Forest
152,Shrubland
176,Grassland/Pasture
190,Woody Wetlands
195,Herbaceous Wetlands
205,Triticale
225,Dbl Crop WinWht/Corn
236,Dbl Crop WinWht/Sorghum
240,Dbl Crop Soybeans/Oats
6,Sunflower
10,Peanuts
38,Camelina
42,Dry Beans
47,Misc Vegs & Fruits
48,Watermelons
228,Dbl Crop Triticale/Corn
237,Dbl Crop Barley/Corn
238,Dbl Crop WinWht/Cotton
254,Dbl Crop Barley/Soybeans
3,Rice
69,Grapes
241,Dbl Crop Corn/Soybeans
229,Pumpkins
12,Sweet Corn
43,Potatoes
46,Sweet Potatoes
49,Onions
92,Aquaculture
219,Greens
222,Squash
243,Cabbage
54,Tomatoes
242,Blueberries
60,Switchgrass
13,Pop or Orn Corn
22,Durum Wheat
51,Chick Peas
206,Carrots
226,Dbl Crop Oats/Corn
227,Lettuce
232,Dbl Crop Lettuce/Cotton
249,Gourds
204,Pistachios
23,Spring Wheat
35,Mustard
41,Sugarbeets
71,Other Tree Crops
72,Citrus
209,Cantaloupes
211,Olives
214,Broccoli
231,Dbl Crop Lettuce/Cantaloupe
233,Dbl Crop Lettuce/Barley
244,Cauliflower
245,Celery
246,Radishes
212,Oranges
213,Honeydew Melons
216,Peppers
45,Sugarcane
58,Clover/Wildflowers
50,Cucumbers
247,Turnips
235,Dbl Crop Barley/Sorghum
34,Rape Seed
32,Flaxseed
33,Safflower
66,Cherries
68,Apples
75,Almonds
76,Walnuts
77,Pears
208,Garlic
210,Prunes
217,Pomegranates
220,Plums
221,Strawberries
223,Apricots
215,Avocados
218,Nectarines
112,Perennial Ice/Snow
224,Vetch
